Total_job,Posted_date,Country_name,Job_type,Website,Total
0,02/25/2021,Singapore,TEFL,Indeed,0
0,02/25/2021,Nigeria,TEFL,Indeed,0
0,02/25/2021,Ireland,TEFL,Indeed,0
0,02/25/2021,Hong Kong,TEFL,Indeed,0
0,02/25/2021,Pakistan,TEFL,Indeed,0
0,02/25/2021,Kuwait,TEFL,Indeed,0
0,02/25/2021,Luxembourg,TEFL,Indeed,0
0,02/25/2021,New Zealand,TEFL,Indeed,0
0,02/25/2021,Malaysia,TEFL,Indeed,0
0,02/25/2021,India,TEFL,Indeed,0
0,02/25/2021,Philippines,TEFL,Indeed,0
0,02/25/2021,Australia,TEFL,Indeed,0
0,02/25/2021,Indonesia,TEFL,Indeed,0
0,02/25/2021,Argentina,TEFL,Indeed,0
0,02/25/2021,Austria,TEFL,Indeed,0
0,02/25/2021,Germany,TEFL,Indeed,0
0,02/25/2021,Portugal,TEFL,Indeed,0
0,02/25/2021,Kuwait,Auto Service,Indeed,0
0,02/25/2021,Luxembourg,Auto Service,Indeed,0
0,02/25/2021,Indonesia,Auto Service,Indeed,0
0,02/25/2021,Luxembourg,Public Health,Indeed,0
0,02/25/2021,Indonesia,Public Health,Indeed,0
0,02/25/2021,Belgium,Public Health,Indeed,0
0,02/25/2021,Portugal,Public Health,Indeed,0
0,02/25/2021,Saudi Arabia,Marriage Family,Indeed,0
0,02/25/2021,Singapore,Marriage Family,Indeed,0
0,02/25/2021,Nigeria,Marriage Family,Indeed,0
0,02/25/2021,Pakistan,Marriage Family,Indeed,0
0,02/25/2021,Kuwait,Marriage Family,Indeed,0
0,02/25/2021,Luxembourg,Marriage Family,Indeed,0
0,02/25/2021,South Africa,Marriage Family,Indeed,0
0,02/25/2021,New Zealand,Marriage Family,Indeed,0
0,02/25/2021,India,Marriage Family,Indeed,0
0,02/25/2021,Philippines,Marriage Family,Indeed,0
0,02/25/2021,Indonesia,Marriage Family,Indeed,0
0,02/25/2021,Argentina,Marriage Family,Indeed,0
0,02/25/2021,Austria,Marriage Family,Indeed,0
0,02/25/2021,Germany,Marriage Family,Indeed,0
0,02/25/2021,Brazil,Marriage Family,Indeed,0
0,02/25/2021,Portugal,Marriage Family,Indeed,0
0,02/25/2021,Chile,Marriage Family,Indeed,0
0,02/25/2021,Portugal,Project Management,Indeed,0
0,02/25/2021,Nigeria,Hospitality Tourism,Indeed,0
0,02/25/2021,Ireland,Hospitality Tourism,Indeed,0
0,02/25/2021,Hong Kong,Hospitality Tourism,Indeed,0
0,02/25/2021,Kuwait,Hospitality Tourism,Indeed,0
0,02/25/2021,Luxembourg,Hospitality Tourism,Indeed,0
0,02/25/2021,New Zealand,Hospitality Tourism,Indeed,0
0,02/25/2021,Philippines,Hospitality Tourism,Indeed,0
0,02/25/2021,Austria,Hospitality Tourism,Indeed,0
0,02/25/2021,Germany,Hospitality Tourism,Indeed,0
0,02/25/2021,Portugal,Hospitality Tourism,Indeed,0
0,02/25/2021,Indonesia,Hospital Administration,Indeed,0
"
                    صفحة 1 من 1 وظائف",02/25/2021,Saudi Arabia,TEFL,Indeed,1
"
                    Page 1 of 1 jobs",02/25/2021,South Africa,TEFL,Indeed,1
"
                    Page 1 of 1,125 jobs",02/25/2021,United Kingdom,Database,Indeed,1
"
                    Page 1 of 1,985 jobs",02/25/2021,India,Database,Indeed,1
"
                    Seite 1 von 1.271 Jobs",02/25/2021,Germany,Accounting,Indeed,1
"
                    Page 1 of 1 jobs",02/25/2021,Nigeria,Auto Service,Indeed,1
"
                    Page 1 of 1,873 jobs",02/25/2021,Singapore,Communication,Indeed,1
"
                    Page 1 of 1,016 jobs",02/25/2021,Philippines,Communication,Indeed,1
"
                    Page 1 of 1 jobs",02/25/2021,Pakistan,Public Health,Indeed,1
"
                    Page 1 of 1 jobs",02/25/2021,Kuwait,Public Health,Indeed,1
"
                    Page 1 of 1 jobs",02/25/2021,Philippines,Public Health,Indeed,1
"
                    Page 1 of 1 jobs",02/25/2021,Ireland,Marriage Family,Indeed,1
"
                    Page 1 of 1 jobs",02/25/2021,Australia,Marriage Family,Indeed,1
"
                    Page 1 of 1 jobs",02/25/2021,Kuwait,Web Development,Indeed,1
"
                    Seite 1 von 1.542 Jobs",02/25/2021,Germany,Web Development,Indeed,1
"
                    Page 1 of 1,444 jobs",02/25/2021,United Kingdom,Computer Support,Indeed,1
"
                    Page 1 of 1,192 jobs",02/25/2021,India,Computer Support,Indeed,1
"
                    Halaman 1 dari 1 lowongan",02/25/2021,Indonesia,Computer Support,Indeed,1
"
                    Page 1 of 1,023 jobs",02/25/2021,Singapore,Project Management,Indeed,1
"
                    Page 1 of 1,896 jobs",02/25/2021,Australia,Project Management,Indeed,1
"
                    Page 1 of 1 jobs",02/25/2021,Pakistan,Hospitality Tourism,Indeed,1
"
                    Page 1 of 1 jobs",02/25/2021,Malaysia,Hospitality Tourism,Indeed,1
"
                    Halaman 1 dari 1 lowongan",02/25/2021,Indonesia,Hospitality Tourism,Indeed,1
"
                    Pagina 1 van 1 vacatures",02/25/2021,Belgium,Hospitality Tourism,Indeed,1
"
                    Página 1 de 1 vagas",02/25/2021,Brazil,Hospitality Tourism,Indeed,1
"
                    Página 1 de 1 empleos",02/25/2021,Chile,Hospitality Tourism,Indeed,1
"
                    Page 1 of 1,095 jobs",02/25/2021,Canada,Business Administration,Indeed,1
"
                    Page 1 of 1 jobs",02/25/2021,Kuwait,Business Administration,Indeed,1
"
                    Page 1 of 1,481 jobs",02/25/2021,United Kingdom,Business Administration,Indeed,1
"
                    Page 1 of 1,012 jobs",02/25/2021,India,Business Administration,Indeed,1
"
                    Seite 1 von 1 Jobs",02/25/2021,Austria,Hospital Administration,Indeed,1
"
                    صفحة 1 من 2 وظائف",02/25/2021,Saudi Arabia,Auto Service,Indeed,2
"
                    Page 1 of 2 jobs",02/25/2021,New Zealand,Public Health,Indeed,2
"
                    Página 1 de 2 empleos",02/25/2021,Argentina,Public Health,Indeed,2
"
                    Seite 1 von 2 Jobs",02/25/2021,Austria,Public Health,Indeed,2
"
                    Página 1 de 2 empleos",02/25/2021,Chile,Public Health,Indeed,2
"
                    Page 1 of 2,555 jobs",02/25/2021,India,Web Development,Indeed,2
"
                    Page 1 of 2,413 jobs",02/25/2021,Canada,Computer Support,Indeed,2
"
                    Page 1 of 2 jobs",02/25/2021,Singapore,Hospitality Tourism,Indeed,2
"
                    Page 1 of 2 jobs",02/25/2021,South Africa,Hospitality Tourism,Indeed,2
"
                    Página 1 de 2 empleos",02/25/2021,Argentina,Hospitality Tourism,Indeed,2
"
                    Pagina 1 van 2 vacatures",02/25/2021,Belgium,Business Administration,Indeed,2
"
                    Page 1 de 2 emplois",02/25/2021,Luxembourg,Hospital Administration,Indeed,2
"
                    Page 1 of 2 jobs",02/25/2021,India,Hospital Administration,Indeed,2
"
                    Pagina 1 van 3 vacatures",02/25/2021,Belgium,TEFL,Indeed,3
"
                    Page 1 of 3 jobs",02/25/2021,Pakistan,Auto Service,Indeed,3
"
                    Page 1 of 3 jobs",02/25/2021,New Zealand,Auto Service,Indeed,3
"
                    Page 1 of 3 jobs",02/25/2021,Malaysia,Auto Service,Indeed,3
"
                    Pagina 1 van 3.430 vacatures",02/25/2021,Belgium,Communication,Indeed,3
"
                    Página 1 de 3.051 vagas",02/25/2021,Brazil,Communication,Indeed,3
"
                    صفحة 1 من 3 وظائف",02/25/2021,Saudi Arabia,Public Health,Indeed,3
"
                    Page 1 of 3 jobs",02/25/2021,Nigeria,Public Health,Indeed,3
"
                    Halaman 1 dari 3 lowongan",02/25/2021,Indonesia,Project Management,Indeed,3
"
                    صفحة 1 من 3 وظائف",02/25/2021,Saudi Arabia,Hospital Administration,Indeed,3
"
                    Page 1 of 3 jobs",02/25/2021,Kuwait,Hospital Administration,Indeed,3
"
                    Page 1 of 4 jobs",02/25/2021,United Kingdom,TEFL,Indeed,4
"
                    Page 1 of 4 jobs",02/25/2021,Hong Kong,Auto Service,Indeed,4
"
                    Page 1 of 4 jobs",02/25/2021,South Africa,Auto Service,Indeed,4
"
                    Page 1 of 4 jobs",02/25/2021,Philippines,Auto Service,Indeed,4
"
                    Página 1 de 4 empleos",02/25/2021,Argentina,Auto Service,Indeed,4
"
                    Página 1 de 4 ofertas",02/25/2021,Portugal,Auto Service,Indeed,4
"
                    Page 1 of 4 jobs",02/25/2021,South Africa,Public Health,Indeed,4
"
                    Page 1 of 4,391 jobs",02/25/2021,United Kingdom,Project Management,Indeed,4
"
                    Page 1 of 4,647 jobs",02/25/2021,India,Project Management,Indeed,4
"
                    Seite 1 von 4.649 Jobs",02/25/2021,Germany,Project Management,Indeed,4
"
                    Page 1 of 5 jobs",02/25/2021,Kuwait,Database,Indeed,5
"
                    Page 1 of 5 jobs",02/25/2021,Kuwait,Accounting,Indeed,5
"
                    Page 1 of 5 jobs",02/25/2021,Malaysia,Public Health,Indeed,5
"
                    Page 1 of 5 jobs",02/25/2021,Hong Kong,Marriage Family,Indeed,5
"
                    صفحة 1 من 5 وظائف",02/25/2021,Saudi Arabia,Web Development,Indeed,5
"
                    Pagina 1 van 5 vacatures",02/25/2021,Belgium,Web Development,Indeed,5
