,Raw,Posted_date,Country_name,certificate,Website,Total
0,0,7/5/21,Czech Republic,Hospital Administration,Indeed,0
1,0,7/5/21,Czech Republic,Public Health,Indeed,0
2,"
                    1. stránka z 3 výsledků",7/5/21,Czech Republic,Accounting,Indeed,3 
3,0,7/5/21,Czech Republic,Auto Service,Indeed,0
4,"
                    1. stránka z 54 výsledků",7/5/21,Czech Republic,Communication,Indeed,54 
5,0,7/5/21,Czech Republic,Computer Support,Indeed,0
6,"
                    1. stránka z 1 výsledků",7/5/21,Czech Republic,Database,Indeed,1
7,0,7/5/21,Czech Republic,Tourism Management,Indeed,0
8,0,7/5/21,Czech Republic,Marriage Family,Indeed,0
9,0,7/5/21,Czech Republic,Project Management,Indeed,0
10,0,7/5/21,Czech Republic,TEFL,Indeed,0
11,0,7/5/21,Czech Republic,Web Development,Indeed,0
12,0,7/5/21,Czech Republic,Business Administration,Indeed,0
13,0,7/5/21,Czech Republic,Healthcare Administration,Indeed,0
14,0,7/5/21,Czech Republic,Administrative Assistant,Indeed,0
15,0,7/5/21,Czech Republic,Agribusiness Management,Indeed,0
16,0,7/5/21,Czech Republic,Commercial Fundamentals,Indeed,0
17,0,7/5/21,Czech Republic,Community Health,Indeed,0
18,0,7/5/21,Czech Republic,Construction Field,Indeed,0
19,0,7/5/21,Czech Republic,Entrepreneurship,Indeed,0
20,0,7/5/21,Czech Republic,Family History Research,Indeed,0
21,0,7/5/21,Czech Republic,Fundamentals of Medical Coding,Indeed,0
22,0,7/5/21,Czech Republic,Social Media Marketing,Indeed,0
23,0,7/5/21,Czech Republic,Computer Programming,Indeed,0
24,0,7/5/21,Finland,Hospital Administration,Indeed,0
25,0,7/5/21,Finland,Public Health,Indeed,0
26,"
                    Sivu 1 / 13 työpaikkaa",7/5/21,Finland,Accounting,Indeed,13 
27,0,7/5/21,Finland,Auto Service,Indeed,0
28,"
                    Sivu 1 / 19 työpaikkaa",7/5/21,Finland,Communication,Indeed,19 
29,0,7/5/21,Finland,Computer Support,Indeed,0
30,0,7/5/21,Finland,Database,Indeed,0
31,0,7/5/21,Finland,Tourism Management,Indeed,0
32,0,7/5/21,Finland,Marriage Family,Indeed,0
33,0,7/5/21,Finland,Project Management,Indeed,0
34,0,7/5/21,Finland,TEFL,Indeed,0
35,0,7/5/21,Finland,Web Development,Indeed,0
36,0,7/5/21,Finland,Business Administration,Indeed,0
37,0,7/5/21,Finland,Healthcare Administration,Indeed,0
38,0,7/5/21,Finland,Administrative Assistant,Indeed,0
39,0,7/5/21,Finland,Agribusiness Management,Indeed,0
40,0,7/5/21,Finland,Commercial Fundamentals,Indeed,0
41,0,7/5/21,Finland,Community Health,Indeed,0
42,0,7/5/21,Finland,Construction Field,Indeed,0
43,"
                    Sivu 1 / 2 työpaikkaa",7/5/21,Finland,Entrepreneurship,Indeed,2 
44,0,7/5/21,Finland,Family History Research,Indeed,0
45,0,7/5/21,Finland,Fundamentals of Medical Coding,Indeed,0
46,0,7/5/21,Finland,Social Media Marketing,Indeed,0
47,0,7/5/21,Finland,Computer Programming,Indeed,0
48,0,7/5/21,Hungary,Hospital Administration,Indeed,0
49,0,7/5/21,Hungary,Public Health,Indeed,0
50,"
                    4 munka 1 oldala",7/5/21,Hungary,Accounting,Indeed,4 
51,0,7/5/21,Hungary,Auto Service,Indeed,0
52,"
                    16 munka 1 oldala",7/5/21,Hungary,Communication,Indeed,16 
53,0,7/5/21,Hungary,Computer Support,Indeed,0
54,"
                    4 munka 1 oldala",7/5/21,Hungary,Database,Indeed,4 
55,0,7/5/21,Hungary,Tourism Management,Indeed,0
56,0,7/5/21,Hungary,Marriage Family,Indeed,0
57,0,7/5/21,Hungary,Project Management,Indeed,0
58,0,7/5/21,Hungary,TEFL,Indeed,0
59,0,7/5/21,Hungary,Web Development,Indeed,0
60,0,7/5/21,Hungary,Business Administration,Indeed,0
61,0,7/5/21,Hungary,Healthcare Administration,Indeed,0
62,0,7/5/21,Hungary,Administrative Assistant,Indeed,0
63,0,7/5/21,Hungary,Agribusiness Management,Indeed,0
64,0,7/5/21,Hungary,Commercial Fundamentals,Indeed,0
65,0,7/5/21,Hungary,Community Health,Indeed,0
66,0,7/5/21,Hungary,Construction Field,Indeed,0
67,"
                    3 munka 1 oldala",7/5/21,Hungary,Entrepreneurship,Indeed,3 
68,0,7/5/21,Hungary,Family History Research,Indeed,0
69,0,7/5/21,Hungary,Fundamentals of Medical Coding,Indeed,0
70,0,7/5/21,Hungary,Social Media Marketing,Indeed,0
71,0,7/5/21,Hungary,Computer Programming,Indeed,0
72,"
                    求人検索結果 29 件中 1 ページ目",7/5/21,Japan,Hospital Administration,Indeed,29 
73,0,7/5/21,Japan,Public Health,Indeed,0
74,"
                    求人検索結果 2619 件中 1 ページ目",7/5/21,Japan,Accounting,Indeed,2619 
75,"
                    求人検索結果 85 件中 1 ページ目",7/5/21,Japan,Auto Service,Indeed,85 
76,"
                    求人検索結果 8014 件中 1 ページ目",7/5/21,Japan,Communication,Indeed,8014 
77,0,7/5/21,Japan,Computer Support,Indeed,0
78,"
                    求人検索結果 1140 件中 1 ページ目",7/5/21,Japan,Database,Indeed,1140 
79,0,7/5/21,Japan,Tourism Management,Indeed,0
80,"
                    求人検索結果 1 件中 1 ページ目",7/5/21,Japan,Marriage Family,Indeed,1
