,Total_job,Posted_date,Country_name,Job_type,Website,Total
0,"
                    Página 1 de 43 vagas",2/26/21,Brazil,TEFL,Indeed,43
1,"
                    Page 1 de 21 emplois",2/26/21,France,TEFL,Indeed,21
2,"
                    Pagina 1 di 126 offerte",2/26/21,Italy,TEFL,Indeed,126
3,"
                    Página 1 de 18 empleos",2/26/21,Mexico,TEFL,Indeed,18
4,"
                    求人検索結果 173 件中 1 ページ目",2/26/21,Japan,TEFL,Indeed,173
5,"
                    Page 1 of 10 jobs",2/27/21,Canada,TEFL,Indeed,10
6,"
                    Page 1 de 10 emplois",2/27/21,France,TEFL,Indeed,10
7,"
                    求人検索結果 73 件中 1 ページ目",2/27/21,Japan,TEFL,Indeed,73
8,"
                    Pagina 1 di 95 offerte",2/27/21,Italy,TEFL,Indeed,95
9,0,2/25/21,Singapore,TEFL,Indeed,0
10,0,2/25/21,Nigeria,TEFL,Indeed,0
11,0,2/25/21,Ireland,TEFL,Indeed,0
12,0,2/25/21,Hong Kong,TEFL,Indeed,0
13,0,2/25/21,Pakistan,TEFL,Indeed,0
14,0,2/25/21,Kuwait,TEFL,Indeed,0
15,0,2/25/21,Luxembourg,TEFL,Indeed,0
16,0,2/25/21,New Zealand,TEFL,Indeed,0
17,0,2/25/21,Malaysia,TEFL,Indeed,0
18,0,2/25/21,India,TEFL,Indeed,0
19,0,2/25/21,Philippines,TEFL,Indeed,0
20,0,2/25/21,Australia,TEFL,Indeed,0
21,0,2/25/21,Indonesia,TEFL,Indeed,0
22,0,2/25/21,Argentina,TEFL,Indeed,0
23,0,2/25/21,Austria,TEFL,Indeed,0
24,0,2/25/21,Germany,TEFL,Indeed,0
25,0,2/25/21,Portugal,TEFL,Indeed,0
26,0,2/26/21,Singapore,TEFL,Indeed,0
27,0,2/26/21,Nigeria,TEFL,Indeed,0
28,0,2/26/21,Ireland,TEFL,Indeed,0
29,0,2/26/21,Pakistan,TEFL,Indeed,0
30,0,2/26/21,Kuwait,TEFL,Indeed,0
31,0,2/26/21,Luxembourg,TEFL,Indeed,0
32,0,2/26/21,South Africa,TEFL,Indeed,0
33,0,2/26/21,New Zealand,TEFL,Indeed,0
34,0,2/26/21,Malaysia,TEFL,Indeed,0
35,0,2/26/21,India,TEFL,Indeed,0
36,0,2/26/21,Philippines,TEFL,Indeed,0
37,0,2/26/21,Australia,TEFL,Indeed,0
38,0,2/26/21,Indonesia,TEFL,Indeed,0
39,0,2/26/21,Argentina,TEFL,Indeed,0
40,0,2/26/21,Austria,TEFL,Indeed,0
41,0,2/26/21,Germany,TEFL,Indeed,0
42,0,2/26/21,Belgium,TEFL,Indeed,0
43,0,2/26/21,Portugal,TEFL,Indeed,0
44,0,2/26/21,Denmark,TEFL,Indeed,0
45,0,2/26/21,Egypt,TEFL,Indeed,0
46,0,2/26/21,Finland,TEFL,Indeed,0
47,0,2/26/21,Hungary,TEFL,Indeed,0
48,0,2/26/21,Greece,TEFL,Indeed,0
49,0,2/26/21,Norway,TEFL,Indeed,0
50,0,2/26/21,Thailand,TEFL,Indeed,0
51,0,2/26/21,Russia,TEFL,Indeed,0
52,0,2/26/21,Peru,TEFL,Indeed,0
53,0,2/26/21,Costa Rica,TEFL,Indeed,0
54,0,2/26/21,Columbia,TEFL,Indeed,0
55,0,2/26/21,Sweden,TEFL,Indeed,0
56,0,2/26/21,Switzerland,TEFL,Indeed,0
57,0,2/26/21,Uruguay,TEFL,Indeed,0
58,0,2/26/21,Venezuela,TEFL,Indeed,0
59,0,2/27/21,Saudi Arabia,TEFL,Indeed,0
60,0,2/27/21,Nigeria,TEFL,Indeed,0
61,0,2/27/21,Ireland,TEFL,Indeed,0
62,0,2/27/21,Hong Kong,TEFL,Indeed,0
63,0,2/27/21,Pakistan,TEFL,Indeed,0
64,0,2/27/21,Kuwait,TEFL,Indeed,0
65,0,2/27/21,Luxembourg,TEFL,Indeed,0
66,0,2/27/21,South Africa,TEFL,Indeed,0
67,0,2/27/21,New Zealand,TEFL,Indeed,0
68,0,2/27/21,Malaysia,TEFL,Indeed,0
69,0,2/27/21,India,TEFL,Indeed,0
70,0,2/27/21,Philippines,TEFL,Indeed,0
71,0,2/27/21,Australia,TEFL,Indeed,0
72,0,2/27/21,Indonesia,TEFL,Indeed,0
73,0,2/27/21,Argentina,TEFL,Indeed,0
74,0,2/27/21,Austria,TEFL,Indeed,0
75,0,2/27/21,Germany,TEFL,Indeed,0
76,0,2/27/21,Belgium,TEFL,Indeed,0
77,0,2/27/21,Denmark,TEFL,Indeed,0
78,0,2/27/21,Ecuador,TEFL,Indeed,0
79,0,2/27/21,Egypt,TEFL,Indeed,0
80,0,2/27/21,Finland,TEFL,Indeed,0
81,0,2/27/21,Hungary,TEFL,Indeed,0
82,0,2/27/21,Greece,TEFL,Indeed,0
83,0,2/27/21,Norway,TEFL,Indeed,0
84,0,2/27/21,Thailand,TEFL,Indeed,0
85,0,2/27/21,Russia,TEFL,Indeed,0
86,0,2/27/21,Costa Rica,TEFL,Indeed,0
87,0,2/27/21,Columbia,TEFL,Indeed,0
88,0,2/27/21,Sweden,TEFL,Indeed,0
89,0,2/27/21,Switzerland,TEFL,Indeed,0
90,0,2/27/21,Uruguay,TEFL,Indeed,0
91,0,2/27/21,Venezuela,TEFL,Indeed,0
92,"
                    صفحة 1 من 1 وظائف",2/25/21,Saudi Arabia,TEFL,Indeed,1
93,"
                    Page 1 of 1 jobs",2/25/21,South Africa,TEFL,Indeed,1
94,"
                    صفحة 1 من 1 وظائف",2/26/21,Saudi Arabia,TEFL,Indeed,1
95,"
                    Page 1 de 1 emplois",2/26/21,Morocco,TEFL,Indeed,1
96,"
                    1페이지 결과 36건",2/26/21,Korea,TEFL,Indeed,1
97,"
                    1. stránka z 13 výsledků",2/26/21,Czech Republic,TEFL,Indeed,1
